OBJECTID *,name,x,y,z,floor
1,Outer Circle,607756.1358,4822415.932,126.9822,1
2,Outer Circle,607762.8276,4822421.393,126.9896,1
3,Outer Circle,607762.8276,4822421.393,126.9896,1
4,Outer Circle,607770.8949,4822427.303,126.9904,1
5,Outer Circle,607770.8949,4822427.303,126.9904,1
6,Outer Circle,607775.015,4822430.321,126.9636,1
7,Outer Circle,607775.015,4822430.321,126.9636,1
8,Outer Circle,607783.3882,4822435.788,126.8665,1
9,Outer Circle,607791.7613,4822441.255,126.7279,1
10,Outer Circle,607800.1345,4822446.722,126.5642,1
11,Outer Circle,607783.3882,4822435.788,126.8665,1
12,Outer Circle,607791.7613,4822441.255,126.7279,1
13,Outer Circle,607800.1345,4822446.722,126.5642,1
14,Outer Circle,607801.5795,4822447.666,126.5342,1
15,Outer Circle,607801.5795,4822447.666,126.5342,1
16,Outer Circle,607810.3895,4822452.397,126.3583,1
17,Outer Circle,607810.3895,4822452.397,126.3583,1
18,Outer Circle,607813.0516,4822453.826,126.3042,1
19,Outer Circle,607813.0516,4822453.826,126.3042,1
20,Outer Circle,607822.2051,4822457.853,126.1099,1
21,Outer Circle,607822.2051,4822457.853,126.1099,1
22,Outer Circle,607822.8806,4822458.15,126.0961,1
23, ,608048.271,4822937.945,126.7965,1
24, ,608040.9273,4822944.733,127.2387,1
25, ,608026.2398,4822958.308,127.5924,1
26, ,608019.7291,4822964.325,127.2802,1
27, ,608033.5836,4822951.52,127.6434,1
28, ,608026.2398,4822958.308,127.5924,1
29, ,608040.9273,4822944.733,127.2387,1
30, ,608033.5836,4822951.52,127.6434,1
31, ,608019.7291,4822964.325,127.2802,1
32, ,608012.0621,4822970.745,127.0355,1
33, ,608012.0621,4822970.745,127.0355,1
34, ,608009.2377,4822973.11,127.0602,1
35, ,608009.2377,4822973.11,127.0602,1
36, ,608001.5697,4822979.529,127.2135,1
37, ,607993.9017,4822985.948,127.5299,1
38, ,607986.9856,4822991.738,127.8525,1
39, ,608001.5697,4822979.529,127.2135,1
40, ,607993.9017,4822985.948,127.5299,1
41, ,607986.9856,4822991.738,127.8525,1
42, ,607978.4507,4822986.526,127.853,1
43, ,607943.1875,4822964.996,128.0028,1
44, ,607942.7552,4822964.732,128.0026,1
45, ,607944.3113,4822965.682,128.0034,1
46, ,607943.1875,4822964.996,128.0028,1
47, ,607952.8462,4822970.893,128.0002,1
48, ,607944.3113,4822965.682,128.0034,1
49, ,607961.381,4822976.104,127.9136,1
50, ,607952.8462,4822970.893,128.0002,1
51, ,607969.9159,4822981.315,127.8243,1
52, ,607961.381,4822976.104,127.9136,1
53, ,607978.4507,4822986.526,127.853,1
54, ,607969.9159,4822981.315,127.8243,1
55, ,608009.2377,4822973.11,127.0602,1
56, ,608019.0733,4822974.916,126.9986,1
57, ,608019.0733,4822974.916,126.9986,1
58, ,608020.9107,4822975.253,127.0055,1
59, ,608020.9107,4822975.253,127.0055,1
60, ,608030.2016,4822978.952,127.0993,1
61, ,608030.2016,4822978.952,127.0993,1
62, ,608036.2368,4822981.354,127.1531,1
63, ,608036.2368,4822981.354,127.1531,1
64, ,608040.32,4822984.686,127.1501,1
65, ,608040.32,4822984.686,127.1501,1
66, ,608046.967,4822992.157,127.0351,1
67, ,608053.614,4822999.628,126.5178,1
68, ,608060.261,4823007.099,126.0077,1
69, ,608046.967,4822992.157,127.0351,1
70, ,608053.614,4822999.628,126.5178,1
71, ,608060.261,4823007.099,126.0077,1
72, ,608065.6284,4823013.132,125.9243,1
73, ,608051.9695,4822868.263,126.5867,1
74, ,608050.1412,4822858.431,126.4507,1
75, ,608050.1412,4822858.431,126.4507,1
76, ,608049.5452,4822855.226,126.4751,1
77, ,608049.5452,4822855.226,126.4751,1
78, ,608049.2758,4822853.78,126.4826,1
79, ,608049.2758,4822853.78,126.4826,1
80, ,608047.4448,4822843.949,126.4328,1
81, ,608047.4448,4822843.949,126.4328,1
82, ,608047.2396,4822842.847,126.4225,1
83, ,608047.2396,4822842.847,126.4225,1
84, ,608047.0076,4822841.968,126.4149,1
85, ,608047.0076,4822841.968,126.4149,1
86, ,608044.688,4822833.178,126.3334,1
87, ,608044.688,4822833.178,126.3334,1
88, ,608044.2543,4822831.535,126.3112,1
89, ,608044.2543,4822831.535,126.3112,1
90, ,608042.7214,4822821.653,126.0033,1
91, ,608039.6555,4822801.889,124.5079,1
92, ,608039.569,4822801.332,124.6828,1
93, ,608041.1884,4822811.771,125.0243,1
94, ,608039.6555,4822801.889,124.5079,1
95, ,608042.7214,4822821.653,126.0033,1
96, ,608041.1884,4822811.771,125.0243,1
97,Residence Road,607842.215,4822466.315,125.9879,1
98,Residence Road,607838.0659,4822475.413,126.0041,1
99,Residence Road,607838.0659,4822475.413,126.0041,1
100,Residence Road,607835.7075,4822480.585,126.0927,1
101,Residence Road,607835.7075,4822480.585,126.0927,1
102,Residence Road,607830.6426,4822489.207,126.3642,1
103,Residence Road,607830.6426,4822489.207,126.3642,1
104,Residence Road,607830.5623,4822489.344,126.3675,1
105,Residence Road,607830.5623,4822489.344,126.3675,1
106,Residence Road,607830.1998,4822489.961,126.3826,1
107,Residence Road,607826.399,4822497.699,126.5009,1
108,Residence Road,607823.9512,4822502.703,126.5066,1
109,Residence Road,607823.9512,4822502.703,126.5066,1
110,Residence Road,607818.7965,4822511.272,126.2838,1
111,Residence Road,607818.7965,4822511.272,126.2838,1
112,Residence Road,607816.2471,4822515.51,126.122,1
113,Residence Road,607816.2471,4822515.51,126.122,1
114,Residence Road,607811.3856,4822524.249,125.6869,1
115,Residence Road,607811.3856,4822524.249,125.6869,1
116,Residence Road,607809.2581,4822528.073,125.504,1
117,Residence Road,607809.2581,4822528.073,125.504,1
118,Residence Road,607803.5097,4822536.256,125.4848,1
119,Residence Road,607803.5097,4822536.256,125.4848,1
120,Residence Road,607798.3924,4822543.54,125.628,1
121,Residence Road,607798.3924,4822543.54,125.628,1
122,Residence Road,607792.5381,4822551.647,125.8163,1
123,Residence Road,607792.5381,4822551.647,125.8163,1
124,Residence Road,607790.5417,4822554.412,125.87,1
125,Residence Road,607790.5417,4822554.412,125.87,1
126,Residence Road,607784.0895,4822562.052,126.0122,1
127,Residence Road,607784.0895,4822562.052,126.0122,1
128,Residence Road,607779.8505,4822567.071,126.1775,1
129,Residence Road,607779.8505,4822567.071,126.1775,1
130,Residence Road,607775.4704,4822571.644,126.3231,1
131,Residence Road,607775.4704,4822571.644,126.3231,1
132,Residence Road,607768.4355,4822578.751,126.6399,1
133,Residence Road,607761.4005,4822585.858,126.8786,1
134,Residence Road,607759.3312,4822587.949,126.9065,1
135,Residence Road,607768.4355,4822578.751,126.6399,1
136,Residence Road,607761.4005,4822585.858,126.8786,1
137,Residence Road,607759.3312,4822587.949,126.9065,1
138,Residence Road,607751.8589,4822594.595,126.8957,1
139,Residence Road,607736.9144,4822607.886,126.9539,1
140,Residence Road,607729.4422,4822614.532,127.093,1
141,Residence Road,607744.3867,4822601.24,126.9024,1
142,Residence Road,607736.9144,4822607.886,126.9539,1
143,Residence Road,607751.8589,4822594.595,126.8957,1
144,Residence Road,607744.3867,4822601.24,126.9024,1
145,Residence Road,607721.9699,4822621.177,127.3244,1
146,Residence Road,607719.1738,4822623.664,127.4249,1
147,Residence Road,607729.4422,4822614.532,127.093,1
148,Residence Road,607721.9699,4822621.177,127.3244,1
149,Residence Road,607719.1738,4822623.664,127.4249,1
150,Residence Road,607711.6569,4822630.259,127.8353,1
151,Residence Road,607711.6569,4822630.259,127.8353,1
152,Residence Road,607705.8071,4822635.392,128.1798,1
153,Residence Road,607705.8071,4822635.392,128.1798,1
154,Residence Road,607698.931,4822640.425,128.658,1
155,Residence Road,607698.931,4822640.425,128.658,1
156,Residence Road,607690.4746,4822645.763,129.1704,1
157,Residence Road,607673.5617,4822656.438,130.2193,1
158,Residence Road,607673.545,4822656.448,130.2203,1
159,Residence Road,607682.0181,4822651.1,129.8378,1
160,Residence Road,607673.5617,4822656.438,130.2193,1
161,Residence Road,607690.4746,4822645.763,129.1704,1
162,Residence Road,607682.0181,4822651.1,129.8378,1
163,Residence Road,607673.545,4822656.448,130.2203,1
164,Residence Road,607664.5963,4822660.911,130.6753,1
165,Residence Road,607664.5963,4822660.911,130.6753,1
166,Residence Road,607657.2954,4822664.553,130.8978,1
167,Residence Road,607657.2954,4822664.553,130.8978,1
