OBJECTID *,Shape *,slope_max,slope_avg,edge_name,surface,length,start_x,start_y,start_z,end_x,end_y,end_z,floor
1,Polyline Z,0.221403,0.118987,Outer Circle,asphalt,8.637792,607756.1358,4822415.932,126.9822,607762.8276,4822421.393,126.9896,1
2,Polyline Z,0.278539,0.142998,Outer Circle,asphalt,9.999999,607762.8276,4822421.393,126.9896,607770.8949,4822427.303,126.9904,1
3,Polyline Z,0.6822,0.52544,Outer Circle,asphalt,5.107205,607770.8949,4822427.303,126.9904,607775.015,4822430.321,126.9636,1
4,Polyline Z,1.20089,0.971303,Outer Circle,asphalt,10.000038,607775.015,4822430.321,126.9636,607783.3882,4822435.788,126.8665,1
5,Polyline Z,1.730809,1.636713,Outer Circle,asphalt,10.000038,607791.7613,4822441.255,126.7279,607800.1345,4822446.722,126.5642,1
6,Polyline Z,1.511316,1.385827,Outer Circle,asphalt,9.999954,607783.3882,4822435.788,126.8665,607791.7613,4822441.255,126.7279,1
7,Polyline Z,1.743224,1.739912,Outer Circle,asphalt,1.725751,607800.1345,4822446.722,126.5642,607801.5795,4822447.666,126.5342,1
8,Polyline Z,1.775881,1.759032,Outer Circle,asphalt,9.99997,607801.5795,4822447.666,126.5342,607810.3895,4822452.397,126.3583,1
9,Polyline Z,1.804387,1.789757,Outer Circle,asphalt,3.021677,607810.3895,4822452.397,126.3583,607813.0516,4822453.826,126.3042,1
10,Polyline Z,1.99129,1.942616,Outer Circle,asphalt,10.000003,607813.0516,4822453.826,126.3042,607822.2051,4822457.853,126.1099,1
11,Polyline Z,1.880559,1.880559,Outer Circle,asphalt,0.737949,607822.2051,4822457.853,126.1099,607822.8806,4822458.15,126.0961,1
12,Polyline Z,11.415324,4.427341,unknown,sidewalk,10.000004,608048.271,4822937.945,126.7965,608040.9273,4822944.733,127.2387,1
13,Polyline Z,6.04332,3.522318,unknown,sidewalk,8.865705,608026.2398,4822958.308,127.5924,608019.7291,4822964.325,127.2802,1
14,Polyline Z,1.092717,0.533119,unknown,sidewalk,10.000078,608033.5836,4822951.52,127.6434,608026.2398,4822958.308,127.5924,1
15,Polyline Z,11.648683,5.050547,unknown,sidewalk,9.999936,608040.9273,4822944.733,127.2387,608033.5836,4822951.52,127.6434,1
16,Polyline Z,5.686266,2.965804,unknown,sidewalk,10.000029,608019.7291,4822964.325,127.2802,608012.0621,4822970.745,127.0355,1
17,Polyline Z,0.95412,0.671793,unknown,sidewalk,3.683811,608012.0621,4822970.745,127.0355,608009.2377,4822973.11,127.0602,1
18,Polyline Z,2.513449,1.533063,unknown,sidewalk,10.000025,608009.2377,4822973.11,127.0602,608001.5697,4822979.529,127.2135,1
19,Polyline Z,3.798655,3.576364,unknown,sidewalk,9.019465,607993.9017,4822985.948,127.5299,607986.9856,4822991.738,127.8525,1
20,Polyline Z,3.422318,3.164453,unknown,sidewalk,10.000025,608001.5697,4822979.529,127.2135,607993.9017,4822985.948,127.5299,1
21,Polyline Z,0.299246,0.175815,unknown,sidewalk,10.000056,607986.9856,4822991.738,127.8525,607978.4507,4822986.526,127.853,1
22,Polyline Z,0.041338,0.041338,unknown,sidewalk,0.506537,607943.1875,4822964.996,128.0028,607942.7552,4822964.732,128.0026,1
23,Polyline Z,0.045096,0.043459,unknown,sidewalk,1.316685,607944.3113,4822965.682,128.0034,607943.1875,4822964.996,128.0028,1
24,Polyline Z,0.094715,0.04603,unknown,sidewalk,10.000056,607952.8462,4822970.893,128.0002,607944.3113,4822965.682,128.0034,1
