OBJECTID *,start_x,start_y,start_z,end_x,end_y,end_z
1,607756.1358,4822415.932,126.9822,607762.8276,4822421.393,126.9896
2,607756.1358,4822415.932,126.9822,607762.8276,4822421.393,126.9896
3,607762.8276,4822421.393,126.9896,607770.8949,4822427.303,126.9904
4,607762.8276,4822421.393,126.9896,607770.8949,4822427.303,126.9904
5,607770.8949,4822427.303,126.9904,607775.015,4822430.321,126.9636
6,607770.8949,4822427.303,126.9904,607775.015,4822430.321,126.9636
7,607775.015,4822430.321,126.9636,607783.3882,4822435.788,126.8665
8,607775.015,4822430.321,126.9636,607783.3882,4822435.788,126.8665
9,607791.7613,4822441.255,126.7279,607800.1345,4822446.722,126.5642
10,607791.7613,4822441.255,126.7279,607800.1345,4822446.722,126.5642
11,607783.3882,4822435.788,126.8665,607791.7613,4822441.255,126.7279
12,607783.3882,4822435.788,126.8665,607791.7613,4822441.255,126.7279
13,607800.1345,4822446.722,126.5642,607801.5795,4822447.666,126.5342
14,607800.1345,4822446.722,126.5642,607801.5795,4822447.666,126.5342
15,607801.5795,4822447.666,126.5342,607810.3895,4822452.397,126.3583
16,607801.5795,4822447.666,126.5342,607810.3895,4822452.397,126.3583
17,607810.3895,4822452.397,126.3583,607813.0516,4822453.826,126.3042
18,607810.3895,4822452.397,126.3583,607813.0516,4822453.826,126.3042
19,607813.0516,4822453.826,126.3042,607822.2051,4822457.853,126.1099
20,607813.0516,4822453.826,126.3042,607822.2051,4822457.853,126.1099
21,607822.2051,4822457.853,126.1099,607822.8806,4822458.15,126.0961
22,607822.2051,4822457.853,126.1099,607822.8806,4822458.15,126.0961
23,608048.271,4822937.945,126.7965,608040.9273,4822944.733,127.2387
24,608048.271,4822937.945,126.7965,608040.9273,4822944.733,127.2387
25,608026.2398,4822958.308,127.5924,608019.7291,4822964.325,127.2802
26,608026.2398,4822958.308,127.5924,608019.7291,4822964.325,127.2802
27,608033.5836,4822951.52,127.6434,608026.2398,4822958.308,127.5924
28,608033.5836,4822951.52,127.6434,608026.2398,4822958.308,127.5924
29,608040.9273,4822944.733,127.2387,608033.5836,4822951.52,127.6434
30,608040.9273,4822944.733,127.2387,608033.5836,4822951.52,127.6434
31,608019.7291,4822964.325,127.2802,608012.0621,4822970.745,127.0355
32,608019.7291,4822964.325,127.2802,608012.0621,4822970.745,127.0355
33,608012.0621,4822970.745,127.0355,608009.2377,4822973.11,127.0602
34,608012.0621,4822970.745,127.0355,608009.2377,4822973.11,127.0602
35,608009.2377,4822973.11,127.0602,608001.5697,4822979.529,127.2135
36,608009.2377,4822973.11,127.0602,608001.5697,4822979.529,127.2135
37,607993.9017,4822985.948,127.5299,607986.9856,4822991.738,127.8525
38,607993.9017,4822985.948,127.5299,607986.9856,4822991.738,127.8525
39,608001.5697,4822979.529,127.2135,607993.9017,4822985.948,127.5299
40,608001.5697,4822979.529,127.2135,607993.9017,4822985.948,127.5299
41,607986.9856,4822991.738,127.8525,607978.4507,4822986.526,127.853
42,607986.9856,4822991.738,127.8525,607978.4507,4822986.526,127.853
43,607943.1875,4822964.996,128.0028,607942.7552,4822964.732,128.0026
44,607943.1875,4822964.996,128.0028,607942.7552,4822964.732,128.0026
45,607944.3113,4822965.682,128.0034,607943.1875,4822964.996,128.0028
46,607944.3113,4822965.682,128.0034,607943.1875,4822964.996,128.0028
47,607952.8462,4822970.893,128.0002,607944.3113,4822965.682,128.0034
48,607952.8462,4822970.893,128.0002,607944.3113,4822965.682,128.0034
49,607961.381,4822976.104,127.9136,607952.8462,4822970.893,128.0002
50,607961.381,4822976.104,127.9136,607952.8462,4822970.893,128.0002
51,607969.9159,4822981.315,127.8243,607961.381,4822976.104,127.9136
52,607969.9159,4822981.315,127.8243,607961.381,4822976.104,127.9136
53,607978.4507,4822986.526,127.853,607969.9159,4822981.315,127.8243
54,607978.4507,4822986.526,127.853,607969.9159,4822981.315,127.8243
55,608009.2377,4822973.11,127.0602,608019.0733,4822974.916,126.9986
56,608009.2377,4822973.11,127.0602,608019.0733,4822974.916,126.9986
57,608019.0733,4822974.916,126.9986,608020.9107,4822975.253,127.0055
58,608019.0733,4822974.916,126.9986,608020.9107,4822975.253,127.0055
59,608020.9107,4822975.253,127.0055,608030.2016,4822978.952,127.0993
60,608020.9107,4822975.253,127.0055,608030.2016,4822978.952,127.0993
61,608030.2016,4822978.952,127.0993,608036.2368,4822981.354,127.1531
62,608030.2016,4822978.952,127.0993,608036.2368,4822981.354,127.1531
63,608036.2368,4822981.354,127.1531,608040.32,4822984.686,127.1501
64,608036.2368,4822981.354,127.1531,608040.32,4822984.686,127.1501
65,608040.32,4822984.686,127.1501,608046.967,4822992.157,127.0351
66,608040.32,4822984.686,127.1501,608046.967,4822992.157,127.0351
67,608053.614,4822999.628,126.5178,608060.261,4823007.099,126.0077
68,608053.614,4822999.628,126.5178,608060.261,4823007.099,126.0077
69,608046.967,4822992.157,127.0351,608053.614,4822999.628,126.5178
70,608046.967,4822992.157,127.0351,608053.614,4822999.628,126.5178
71,608060.261,4823007.099,126.0077,608065.6284,4823013.132,125.9243
72,608060.261,4823007.099,126.0077,608065.6284,4823013.132,125.9243
73,608053.1224,4822874.447,126.5361,608051.9695,4822868.263,126.5867
74,608053.1224,4822874.447,126.5361,608051.9695,4822868.263,126.5867
75,608051.9695,4822868.263,126.5867,608050.1412,4822858.431,126.4507
76,608051.9695,4822868.263,126.5867,608050.1412,4822858.431,126.4507
77,608050.1412,4822858.431,126.4507,608049.5452,4822855.226,126.4751
78,608050.1412,4822858.431,126.4507,608049.5452,4822855.226,126.4751
79,608049.5452,4822855.226,126.4751,608049.2758,4822853.78,126.4826
80,608049.5452,4822855.226,126.4751,608049.2758,4822853.78,126.4826
81,608049.2758,4822853.78,126.4826,608047.4448,4822843.949,126.4328
82,608049.2758,4822853.78,126.4826,608047.4448,4822843.949,126.4328
83,608047.4448,4822843.949,126.4328,608047.2396,4822842.847,126.4225
84,608047.4448,4822843.949,126.4328,608047.2396,4822842.847,126.4225
85,608047.2396,4822842.847,126.4225,608044.688,4822833.178,126.3334
86,608047.2396,4822842.847,126.4225,608044.688,4822833.178,126.3334
87,608044.688,4822833.178,126.3334,608044.2543,4822831.535,126.3112
88,608044.688,4822833.178,126.3334,608044.2543,4822831.535,126.3112
89,608044.2543,4822831.535,126.3112,608042.7214,4822821.653,126.0033
90,608044.2543,4822831.535,126.3112,608042.7214,4822821.653,126.0033
91,608039.6555,4822801.889,124.5079,608039.569,4822801.332,124.6828
92,608039.6555,4822801.889,124.5079,608039.569,4822801.332,124.6828
93,608041.1884,4822811.771,125.0243,608039.6555,4822801.889,124.5079
94,608041.1884,4822811.771,125.0243,608039.6555,4822801.889,124.5079
95,608042.7214,4822821.653,126.0033,608041.1884,4822811.771,125.0243
96,608042.7214,4822821.653,126.0033,608041.1884,4822811.771,125.0243
97,607842.215,4822466.315,125.9879,607838.0659,4822475.413,126.0041
98,607842.215,4822466.315,125.9879,607838.0659,4822475.413,126.0041
99,607838.0659,4822475.413,126.0041,607835.7075,4822480.585,126.0927
100,607838.0659,4822475.413,126.0041,607835.7075,4822480.585,126.0927
101,607835.7075,4822480.585,126.0927,607830.6426,4822489.207,126.3642
102,607835.7075,4822480.585,126.0927,607830.6426,4822489.207,126.3642
103,607830.6426,4822489.207,126.3642,607830.1998,4822489.961,126.3826
104,607830.6426,4822489.207,126.3642,607830.1998,4822489.961,126.3826
105,607826.399,4822497.699,126.5009,607823.9512,4822502.703,126.5066
106,607826.399,4822497.699,126.5009,607823.9512,4822502.703,126.5066
107,607823.9512,4822502.703,126.5066,607818.7965,4822511.272,126.2838
108,607823.9512,4822502.703,126.5066,607818.7965,4822511.272,126.2838
109,607818.7965,4822511.272,126.2838,607816.2471,4822515.51,126.122
110,607818.7965,4822511.272,126.2838,607816.2471,4822515.51,126.122
111,607816.2471,4822515.51,126.122,607811.3856,4822524.249,125.6869
112,607816.2471,4822515.51,126.122,607811.3856,4822524.249,125.6869
113,607811.3856,4822524.249,125.6869,607809.2581,4822528.073,125.504
114,607811.3856,4822524.249,125.6869,607809.2581,4822528.073,125.504
115,607809.2581,4822528.073,125.504,607803.5097,4822536.256,125.4848
116,607809.2581,4822528.073,125.504,607803.5097,4822536.256,125.4848
117,607803.5097,4822536.256,125.4848,607798.3924,4822543.54,125.628
118,607803.5097,4822536.256,125.4848,607798.3924,4822543.54,125.628
119,607798.3924,4822543.54,125.628,607792.5381,4822551.647,125.8163
120,607798.3924,4822543.54,125.628,607792.5381,4822551.647,125.8163
121,607792.5381,4822551.647,125.8163,607790.5417,4822554.412,125.87
122,607792.5381,4822551.647,125.8163,607790.5417,4822554.412,125.87
123,607790.5417,4822554.412,125.87,607784.0895,4822562.052,126.0122
124,607790.5417,4822554.412,125.87,607784.0895,4822562.052,126.0122
125,607784.0895,4822562.052,126.0122,607779.8505,4822567.071,126.1775
126,607784.0895,4822562.052,126.0122,607779.8505,4822567.071,126.1775
127,607779.8505,4822567.071,126.1775,607775.4704,4822571.644,126.3231
128,607779.8505,4822567.071,126.1775,607775.4704,4822571.644,126.3231
129,607775.4704,4822571.644,126.3231,607768.4355,4822578.751,126.6399
130,607775.4704,4822571.644,126.3231,607768.4355,4822578.751,126.6399
131,607761.4005,4822585.858,126.8786,607759.3312,4822587.949,126.9065
132,607761.4005,4822585.858,126.8786,607759.3312,4822587.949,126.9065
133,607768.4355,4822578.751,126.6399,607761.4005,4822585.858,126.8786
134,607768.4355,4822578.751,126.6399,607761.4005,4822585.858,126.8786
135,607759.3312,4822587.949,126.9065,607751.8589,4822594.595,126.8957
136,607759.3312,4822587.949,126.9065,607751.8589,4822594.595,126.8957
137,607736.9144,4822607.886,126.9539,607729.4422,4822614.532,127.093
138,607736.9144,4822607.886,126.9539,607729.4422,4822614.532,127.093
139,607744.3867,4822601.24,126.9024,607736.9144,4822607.886,126.9539
140,607744.3867,4822601.24,126.9024,607736.9144,4822607.886,126.9539
141,607751.8589,4822594.595,126.8957,607744.3867,4822601.24,126.9024
142,607751.8589,4822594.595,126.8957,607744.3867,4822601.24,126.9024
143,607721.9699,4822621.177,127.3244,607719.1738,4822623.664,127.4249
144,607721.9699,4822621.177,127.3244,607719.1738,4822623.664,127.4249
145,607729.4422,4822614.532,127.093,607721.9699,4822621.177,127.3244
146,607729.4422,4822614.532,127.093,607721.9699,4822621.177,127.3244
147,607719.1738,4822623.664,127.4249,607711.6569,4822630.259,127.8353
148,607719.1738,4822623.664,127.4249,607711.6569,4822630.259,127.8353
149,607711.6569,4822630.259,127.8353,607705.8071,4822635.392,128.1798
150,607711.6569,4822630.259,127.8353,607705.8071,4822635.392,128.1798
151,607705.8071,4822635.392,128.1798,607698.931,4822640.425,128.658
152,607705.8071,4822635.392,128.1798,607698.931,4822640.425,128.658
153,607698.931,4822640.425,128.658,607690.4746,4822645.763,129.1704
154,607698.931,4822640.425,128.658,607690.4746,4822645.763,129.1704
155,607673.5617,4822656.438,130.2193,607673.545,4822656.448,130.2203
